City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Murgab,TM,37.4966,61.9714,46.27,66,75,4.61,light intensity shower rain
325,Kenora,CA,49.8167,-94.4337,-22.23,68,100,5.75,overcast clouds
326,Sumbe,AO,-11.2061,13.8437,82.45,60,97,9.73,overcast clouds
327,Alamos,MX,27.0167,-108.9333,61.5,34,0,4.12,clear sky
328,Tuskegee,US,32.424,-85.6916,58.03,100,100,1.25,overcast clouds
329,Wasilla,US,61.5814,-149.4394,25.75,89,100,3.44,light snow
330,Arlit,NE,18.7369,7.3853,83.61,7,0,1.07,clear sky
331,Los Corrales De Buelna,ES,43.2636,-4.0726,53.1,79,54,4.0,broken clouds
332,Fort Nelson,CA,58.8053,-122.7002,8.19,85,75,4.61,light snow
333,Payakumbuh,ID,-0.2202,100.6308,71.13,96,100,1.36,overcast clouds
334,Mount Isa,AU,-20.7333,139.5,74.97,78,40,10.36,scattered clouds
335,Udachnyy,RU,66.4167,112.4,-8.43,100,93,3.2,overcast clouds
336,Coquimbo,CL,-29.9533,-71.3436,67.73,72,40,12.66,scattered clouds
337,Koslan,RU,63.4564,48.8989,21.16,96,100,5.48,light snow
338,Talnakh,RU,69.4865,88.3972,-9.17,79,55,10.09,broken clouds
339,Luganville,VU,-15.5333,167.1667,78.3,88,100,5.1,overcast clouds
340,Petukhovo,RU,55.0692,67.9019,2.59,98,98,4.54,overcast clouds
341,Isangel,VU,-19.55,169.2667,79.3,89,76,4.07,broken clouds
342,Uinskoye,RU,56.8817,56.5813,24.35,95,100,7.11,overcast clouds
343,Narsaq,GL,60.9167,-46.05,32.22,97,100,4.97,snow
344,Iqaluit,CA,63.7506,-68.5145,-24.07,62,20,2.3,few clouds
345,Belmira,CO,6.6051,-75.6662,63.45,54,91,1.95,overcast clouds
