City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Vangaindrano,MG,77.49,few clouds,-23.35,47.6,Hotel Fanilo
491,Bilma,NE,78.89,clear sky,18.6853,12.9164,Expeditions Ténére voyages
492,Kroya,ID,78.19,moderate rain,-7.6331,109.2461,RUSTANTO Fam
497,Palmar,CR,86.68,few clouds,9.8728,-84.4553,Casa Victoria y Anabella
498,Yabelo,ET,79.12,scattered clouds,4.8833,38.0833,Asnakech W/michael
502,Malindi,KE,82.56,broken clouds,-3.2175,40.1191,African House Resort
507,Ambilobe,MG,76.3,moderate rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
508,Parnamirim,BR,87.69,broken clouds,-5.9156,-35.2628,Pousada Joaci
511,Yulara,AU,75.04,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
518,Labuan,MY,75.56,light rain,5.2767,115.2417,Tiara Labuan Hotel
520,Dabou,CI,84.0,broken clouds,5.3256,-4.3769,Résidence N'Da
527,Bac Lieu,VN,78.69,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
528,Male,MV,82.35,broken clouds,4.1748,73.5089,Hotel Octave Maldives
530,Richards Bay,ZA,83.28,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
532,Saint-Georges,GD,83.88,scattered clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
538,Darapidap,PH,76.8,overcast clouds,17.2131,120.4114,Candon Beach Resort
539,Andros Town,BS,78.76,moderate rain,24.7,-77.7667,Hanks place
542,Tete,MZ,89.69,few clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
546,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
548,Mazagao,BR,89.65,broken clouds,-0.115,-51.2894,Recanto dos Ferreiras
550,Daru,PG,79.27,scattered clouds,-9.0763,143.2092,Daru Lodge
554,Piacabucu,BR,86.83,few clouds,-10.4056,-36.4344,Piaçabuçu News
560,Farafangana,MG,76.59,few clouds,-22.8167,47.8333,Miarina
561,Moerai,PF,79.0,light rain,-22.4333,-151.3333,Le Manotel
562,Pocone,BR,86.25,overcast clouds,-16.2567,-56.6228,Hotel e Churrascaria Pantaneira
568,Balikpapan,ID,75.2,light rain,-1.2675,116.8289,ibis Balikpapan
569,Mossendjo,CG,77.27,light rain,-2.9506,12.7261,HOTEL D'ASSISE
572,Puerto Narino,CO,84.15,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
581,Kieta,PG,78.04,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
583,Maragogi,BR,86.5,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
586,Giyani,ZA,86.05,clear sky,-23.3025,30.7187,Kulani Country Lodge
589,Arica,CL,78.35,clear sky,-18.475,-70.3042,Hostal Jardin Del Sol
590,Bairiki,KI,80.6,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
592,Tevaitoa,PF,80.26,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
593,Acajutla,SV,84.79,clear sky,13.5928,-89.8275,Laureles
594,Cassilandia,BR,85.19,scattered clouds,-19.1133,-51.7342,Delirius Motel
596,Kalabo,ZM,77.36,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
599,Niquelandia,BR,81.03,scattered clouds,-14.4739,-48.4597,Hotel Suinã
600,Cam Ranh,VN,76.96,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
606,Capao Da Canoa,BR,77.09,clear sky,-29.7456,-50.0097,Hotel Araçá
607,Panlaitan,PH,80.71,overcast clouds,12.1191,119.8486,Panlaitan Cetro Beach
610,Kutum,SD,79.66,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
618,Marsabit,KE,77.07,few clouds,2.3284,37.9899,Chicho Hotel
621,Norsup,VU,79.56,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
622,Lakatoro,VU,79.57,overcast clouds,-16.0999,167.4164,Lakatoro Palm Lodge
624,Nicoya,CR,83.75,clear sky,10.1483,-85.452,Las Cabinas Del Sueño
627,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
